	for_query	tweet	username	date	hashtags	likes	retweets	url
13	Justice system	the justice system has always been against black people, it’s been built up solely on racism and injustice. goddamn america is fucked up	ROSESMARAIS	Fri Dec 11 19:24:29 +0000 2020	['BLM']	7	0	https://twitter.com/twitter/statuses/1337478379579166721
14	Justice system	@SecPompeo America justice system is and was set for only whites and to kill off black people. #BlackLivesMatter #Wearestopinghooligans https://t.co/ZX6JxLVYpa	BrigadeNrm	Sat Dec 12 04:44:39 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337619349763284994
15	Justice system	"@SecPompeo America justice system is and was set for only whites and to kill off black people #BlackLivesMatter 
#Wearestopinghooligans https://t.co/SkP2AFUSJL"	BrigadeNrm	Sat Dec 12 04:45:58 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337619682975645697
16	Justice system	America's justice system is and was set for only whites and to kill off black people #BlackLivesMatter #Wearestopinghooligans https://t.co/umHmFWMEv5 https://t.co/56y7mnB6S9	BrigadeNrm	Sat Dec 12 04:59:44 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337623146245996545
17	Justice system	what the fuck . how is it called the justice system . there’s never justice , just systematic racism . i cant fucking stand america	PUNZSOOT	Fri Dec 11 05:08:59 +0000 2020	['BLM']	8	0	https://twitter.com/twitter/statuses/1337263086651236353
18	Justice system	#EGPGC was out in full force today at the Belton County Justice Complex standing together as one to End Racism in the Criminal Criminal Justice System of White Supremacy. We are never going to stop fighting in the interest of the 1% in Black America which is us, Revolutionaries👇🏿 https://t.co/uh7Xtr9uR9	TheBlackCollec1	Thu Dec 10 01:14:36 +0000 2020	['BLM']	4	1	https://twitter.com/twitter/statuses/1336841713768390656
19	Justice system	@trashbot6k You cannot solve economic justice until you solve for racism, sexism, and bigotry in America. The reason we haven't had economic justice is because white male dominated system doesn't want to share resources with non-whites, women, religious minorities, disabled, and LGBTQ+	marinmaven	Thu Dec 10 17:19:12 +0000 2020	['BLM']	18	0	https://twitter.com/twitter/statuses/1337084463696625666
0	All lives matter	My church will replace our Black Lives Matter sign. Will America replace its racist myth?| “It mattered not that the land was ours. It mattered not that the sign was ours. “ https://t.co/AOtZfk8Kkc	newsollie	Wed Dec 16 12:31:48 +0000 2020	['BLM']	1	1	https://twitter.com/twitter/statuses/1339186465272717312
1	All lives matter	"@oliviaolivelivv @HuffPost The question is why is all lives matter so offended by #blacklivesmatter 
If all lives matter whats so bad about black lives matter? The saying isn’t only black lives matter
Y’all know that,y’all just want to be mad all the time and Defend America when America be on bullshit alot"	lifeosabrina	Wed Dec 16 05:33:51 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339081282949668866
2	All lives matter	"DC AME pastor William Lamar: Our Black Lives Matter sign was vandalized. America must abandon its white supremacist god. ”It mattered not that the land was ours. It mattered not that the sign was ours. The mythology that motivated the perpetrators on 1/
 https://t.co/boc4JhqsGO"	RonLebow	Wed Dec 16 00:37:40 +0000 2020	['BLM']	8	2	https://twitter.com/twitter/statuses/1339006744828076032
3	All lives matter	BLACK LIVES DO FUCKING MATTER!!!!! We aren’t saying ALL lives don’t matter we are making a point that racism is a thing and In America there is too much racism	Razer261	Sat Dec 12 01:47:14 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1337574702919847938
4	All lives matter	BLM is a Domestic Terrorist Organization and should be treated as such. ALL LIVES MATTER and BLM does not care about other people's lives THEY MUST BE TAKEN DOWN! 💯🇺🇲AMERICA FIRST!	TurnVTRed	Sun Dec 13 18:46:16 +0000 2020	['BLM']	1	0	https://twitter.com/twitter/statuses/1338193537087795204
5	All lives matter	"The phrase ""All lives matter"" is a vitriolic, racist response to the BLM movement designed to negate the fact that Black lives don't matter to a large swath of white America. The goal is ensuring we live up to our Founding principle of all being equal, which we never have. https://t.co/w9II1GeJkY"	barefootboomer	Fri Dec 11 11:21:30 +0000 2020	['BLM']	60	9	https://twitter.com/twitter/statuses/1337356834215260161
6	All lives matter	Sick and tired the goddamn black lives matter people trying to destroy America by tearing down statues tearing down names of the schools destroyed churches it's time to do away with BLM no matter what it takes	Paul94094266	Wed Dec 16 00:30:21 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1339004905718042624
7	All lives matter	Defund black lives matters.  Someone is finding them, they all to lazy to get out and work....defund black lives matter #BlackLivesMatter #usa #white #america #crybabiesblacklivesmatter	wcswafford	Thu Dec 10 10:02:57 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1336974677957353473
8	All lives matter	excuse me???? racism exists everywhere......wdym it doesn’t matter to you cause you live in latin america. https://t.co/YXQrxqdXsz	reineblinks	Fri Dec 11 17:26:36 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1337448713325842432
9	All lives matter	"Check out the resources for Arab Americans to help with the Black Lives Matter movement.
#BlackLivesMatter #Arab #support 
https://t.co/d6MHCBz9A9"	Arab_America	Wed Dec 16 16:56:11 +0000 2020	['BLM']	3	2	https://twitter.com/twitter/statuses/1339252996371308553
10	All lives matter	@Irish_Mermaid @SCOUSER693 @YNPierce “ALL” Lives Matters WHEN white America demonstrates that Black Lives Matter!! Sadly Racism runs very very deep against black Americans .... 😢	ceecee1047	Mon Dec 14 01:26:12 +0000 2020	['BLM']	8	0	https://twitter.com/twitter/statuses/1338294186345439240
11	All lives matter	My THIS IS AMERICA Livestream Mix inspired by the Black Lives Matter Movement and the shit-show #2020Election is now LIVE on my https://t.co/4lCTHHDWth and https://t.co/15sTUy536Z Listen, Vibe $ Subscribe! #blm #femaledj #fuckthepolice #fuckdonaldtrump #ladj https://t.co/j8JomxXAnM	CaliMiles	Sat Dec 12 04:23:19 +0000 2020	['BLM']	4	0	https://twitter.com/twitter/statuses/1337613982941597696
12	All lives matter	"Black lives continue to matter but our nation's police continue to act as if they don't. Remember the protests? The marches? The rallies? We're still living in the America of last Spring. Nothing's changed. #BLM
https://t.co/XJ6IXpAfK2"	aboutrunning	Wed Dec 16 12:25:08 +0000 2020	['BLM']	3	0	https://twitter.com/twitter/statuses/1339184787706273793
13	All lives matter	My church will replace our Black Lives Matter sign. Will America replace its racist myth? https://t.co/cobhA4OabG	rob_b72	Tue Dec 15 19:32:20 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338929907221585920
14	All lives matter	My church will replace our Black Lives Matter sign. Will America replace its racist myth? https://t.co/bZEInkkAr6	KipBanks	Tue Dec 15 19:34:16 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338930392347406336
15	All lives matter	My church will replace our Black Lives Matter sign. Will America replace its racist myth? https://t.co/rzbbnrL0YW	MitchLandrieu	Tue Dec 15 21:01:23 +0000 2020	['BLM']	75	9	https://twitter.com/twitter/statuses/1338952315261382660
16	All lives matter	My church will replace our Black Lives Matter sign. Will America replace its racist myth? https://t.co/KSStVQO3dz	springle98	Tue Dec 15 21:02:21 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338952560330244097
17	All lives matter	My church will replace our Black Lives Matter sign. Will America replace its racist myth? https://t.co/U8DTZFIkmH	heel_be_ok	Tue Dec 15 21:08:32 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338954116303876096
18	All lives matter	My church will replace our Black Lives Matter sign. Will America replace its racist myth? https://t.co/oLIBOBcFrG	brianfromOR	Tue Dec 15 21:19:56 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338956984247230464
19	All lives matter	My church will replace our Black Lives Matter sign. Will America replace its racist myth? https://t.co/YnGgKaXIHN	FloreyBarb	Tue Dec 15 21:48:09 +0000 2020	['BLM']	0	0	https://twitter.com/twitter/statuses/1338964084990091264
